X,Y,Label
-0.52419,0.65281,a
1.9113,0.49198,a
-0.071106,-0.62569,a
0.56184,-0.089877,a
0.57407,-0.3717,a
0.37173,0.11662,a
0.19169,1.0507,a
1.2441,-0.43833,a
-1.1642,0.97439,a
1.6353,-0.23264,a
0.68633,-0.32596,a
-1.1495,0.30482,a
1.1102,0.35456,a
1.1826,0.1399,a
1.7073,-0.73373,a
-0.42032,-0.34566,a
1.6394,-0.43399,a
0.26347,-0.25625,a
-1.4635,-0.39104,a
-0.77617,0.21289,a
0.92949,0.50577,a
1.793,-0.12533,a
-1.1832,0.27712,a
-0.11118,0.37944,a
-0.65677,0.066921,a
1.8797,-0.13628,a
-0.89608,-0.27131,a
1.3315,-0.58155,a
-0.62457,-0.13676,a
0.77668,0.079752,a
-1.3243,-0.093354,a
1.5003,0.10895,a
-2.2029,0.023119,a
0.32251,0.33516,a
0.421,-0.31525,a
-0.8207,-0.059205,a
-0.96646,0.12103,a
0.60935,-0.18804,a
-1.0362,0.14022,a
-0.028238,-0.88723,a
-2.8198,0.22929,a
-2.081,0.23091,a
-0.044753,-0.00059374,a
1.118,-0.17647,a
-1.6495,-0.2165,a
0.67867,-0.85239,a
0.49432,0.54786,a
-0.58847,0.31789,a
-0.023925,-0.54359,a
2.1913,-0.73863,a
-1.4006,-0.19262,a
0.4801,0.34042,a
0.20755,0.41632,a
0.32208,0.2673,a
-0.0058805,0.38401,a
0.28139,0.87744,a
-0.25134,-0.85216,a
-1.6935,0.23475,a
-0.58402,-0.027152,a
0.23444,-0.37444,a
0.25879,0.35838,a
0.60366,-0.0027565,a
2.221,0.60006,a
-1.6541,-0.51701,a
0.68041,-0.42378,a
0.13583,0.21671,a
-0.037987,-0.44376,a
-0.69314,0.060616,a
-0.12753,-0.20095,a
0.68036,0.54834,a
0.42621,0.21834,a
-1.6057,-0.2035,a
0.90621,-0.31935,a
0.24951,-0.20244,a
1.8942,1.1969,a
-1.1124,-0.024812,a
-0.72204,-0.10129,a
-1.7522,-0.098767,a
0.0036123,0.75816,a
0.99514,-0.8661,a
-0.47897,0.55624,a
-0.5191,-0.35964,a
-0.29466,-0.13668,a
-0.16055,0.3387,a
1.0235,-0.46823,a
0.015895,0.21286,a
-0.48266,-0.037272,a
0.63467,-0.6994,a
-1.3644,0.096153,a
0.59862,0.29019,a
-0.2065,0.31893,a
2.1394,-0.28299,a
-0.64881,-0.0080688,a
0.42359,0.31116,a
0.11787,0.26672,a
-1.0808,-0.19467,a
0.87553,-0.63583,a
-2.2263,0.1363,a
-1.9461,0.15873,a
-1.3096,0.74918,a
-3.5242,0.65281,b
-1.0887,0.49198,b
-3.0711,-0.62569,b
-2.4382,-0.089877,b
-2.4259,-0.3717,b
-2.6283,0.11662,b
-2.8083,1.0507,b
-1.7559,-0.43833,b
-4.1642,0.97439,b
-1.3647,-0.23264,b
-2.3137,-0.32596,b
-4.1495,0.30482,b
-1.8898,0.35456,b
-1.8174,0.1399,b
-1.2927,-0.73373,b
-3.4203,-0.34566,b
-1.3606,-0.43399,b
-2.7365,-0.25625,b
-4.4635,-0.39104,b
-3.7762,0.21289,b
-2.0705,0.50577,b
-1.207,-0.12533,b
-4.1832,0.27712,b
-3.1112,0.37944,b
-3.6568,0.066921,b
-1.1203,-0.13628,b
-3.8961,-0.27131,b
-1.6685,-0.58155,b
-3.6246,-0.13676,b
-2.2233,0.079752,b
-4.3243,-0.093354,b
-1.4997,0.10895,b
-5.2029,0.023119,b
-2.6775,0.33516,b
-2.579,-0.31525,b
-3.8207,-0.059205,b
-3.9665,0.12103,b
-2.3907,-0.18804,b
-4.0362,0.14022,b
-3.0282,-0.88723,b
-5.8198,0.22929,b
-5.081,0.23091,b
-3.0448,-0.00059374,b
-1.882,-0.17647,b
-4.6495,-0.2165,b
-2.3213,-0.85239,b
-2.5057,0.54786,b
-3.5885,0.31789,b
-3.0239,-0.54359,b
-0.80869,-0.73863,b
-4.4006,-0.19262,b
-2.5199,0.34042,b
-2.7924,0.41632,b
-2.6779,0.2673,b
-3.0059,0.38401,b
-2.7186,0.87744,b
-3.2513,-0.85216,b
-4.6935,0.23475,b
-3.584,-0.027152,b
-2.7656,-0.37444,b
-2.7412,0.35838,b
-2.3963,-0.0027565,b
-0.77903,0.60006,b
-4.6541,-0.51701,b
-2.3196,-0.42378,b
-2.8642,0.21671,b
-3.038,-0.44376,b
-3.6931,0.060616,b
-3.1275,-0.20095,b
-2.3196,0.54834,b
-2.5738,0.21834,b
-4.6057,-0.2035,b
-2.0938,-0.31935,b
-2.7505,-0.20244,b
-1.1058,1.1969,b
-4.1124,-0.024812,b
-3.722,-0.10129,b
-4.7522,-0.098767,b
-2.9964,0.75816,b
-2.0049,-0.8661,b
-3.479,0.55624,b
-3.5191,-0.35964,b
-3.2947,-0.13668,b
-3.1605,0.3387,b
-1.9765,-0.46823,b
-2.9841,0.21286,b
-3.4827,-0.037272,b
-2.3653,-0.6994,b
-4.3644,0.096153,b
-2.4014,0.29019,b
-3.2065,0.31893,b
-0.86063,-0.28299,b
-3.6488,-0.0080688,b
-2.5764,0.31116,b
-2.8821,0.26672,b
-4.0808,-0.19467,b
-2.1245,-0.63583,b
-5.2263,0.1363,b
-4.9461,0.15873,b
-4.3096,0.74918,b
